Etc/UTC,Open,High,Low,Close,Volume
2026-05-21T10:21:00+00:00,1.16206,1.16214,1.16202,1.16213,50400000
2026-05-21T10:22:00+00:00,1.16212,1.16218,1.16209,1.16214,56250000
2026-05-21T10:23:00+00:00,1.16212,1.16222,1.16212,1.16216,38250000
2026-05-21T10:24:00+00:00,1.16217,1.16222,1.16208,1.16211,49950000
2026-05-21T10:25:00+00:00,1.16215,1.16215,1.16152,1.16159,415550000
2026-05-21T10:26:00+00:00,1.16161,1.16161,1.16086,1.16093,510380000
2026-05-21T10:27:00+00:00,1.16092,1.16144,1.16085,1.16133,359570000
2026-05-21T10:28:00+00:00,1.16132,1.16141,1.16115,1.16137,339720000
2026-05-21T10:29:00+00:00,1.16136,1.1614,1.16112,1.16132,269130000
2026-05-21T10:30:00+00:00,1.16134,1.16136,1.16086,1.16091,313690000
2026-05-21T10:31:00+00:00,1.1609,1.16092,1.16052,1.1606,297480000
2026-05-21T10:32:00+00:00,1.1606,1.16068,1.16039,1.16042,259830000
2026-05-21T10:33:00+00:00,1.16043,1.16067,1.16043,1.16063,198370000
2026-05-21T10:34:00+00:00,1.16062,1.16087,1.16051,1.16071,190250000
2026-05-21T10:35:00+00:00,1.1607,1.1607,1.16052,1.16054,169010000
2026-05-21T10:36:00+00:00,1.16051,1.16057,1.16041,1.16054,156330000
2026-05-21T10:37:00+00:00,1.16057,1.16086,1.16049,1.16082,190720000
2026-05-21T10:38:00+00:00,1.16083,1.16086,1.16036,1.16037,211920000
2026-05-21T10:39:00+00:00,1.16037,1.16042,1.16014,1.1602,255280000
2026-05-21T10:40:00+00:00,1.16018,1.16019,1.15998,1.16013,240870000
2026-05-21T10:41:00+00:00,1.16013,1.16019,1.16005,1.16018,175840000
2026-05-21T10:42:00+00:00,1.16017,1.16043,1.16007,1.16043,132750000
2026-05-21T10:43:00+00:00,1.16044,1.16068,1.16037,1.16068,151200000
2026-05-21T10:44:00+00:00,1.16067,1.16073,1.16061,1.16061,95740000
2026-05-21T10:45:00+00:00,1.16062,1.16069,1.16038,1.16047,156150000
2026-05-21T10:46:00+00:00,1.16046,1.1606,1.16043,1.16059,119250000
2026-05-21T10:47:00+00:00,1.1606,1.16062,1.16041,1.16046,168560000
2026-05-21T10:48:00+00:00,1.16045,1.1606,1.1604,1.16053,172380000
2026-05-21T10:49:00+00:00,1.16051,1.16064,1.16039,1.16062,180790000
2026-05-21T10:50:00+00:00,1.16063,1.16063,1.16042,1.16058,204080000
2026-05-21T10:51:00+00:00,1.1606,1.16073,1.1606,1.16068,85950000
2026-05-21T10:52:00+00:00,1.16067,1.1607,1.16039,1.16042,166620000
2026-05-21T10:53:00+00:00,1.16042,1.16055,1.16039,1.16044,178650000
2026-05-21T10:54:00+00:00,1.16044,1.16073,1.16043,1.16069,154350000
2026-05-21T10:55:00+00:00,1.16071,1.16096,1.16064,1.16069,130040000
2026-05-21T10:56:00+00:00,1.16067,1.16095,1.16064,1.16094,89460000
2026-05-21T10:57:00+00:00,1.16093,1.16106,1.16087,1.16106,164010000
2026-05-21T10:58:00+00:00,1.16107,1.16107,1.16079,1.16088,104450000
2026-05-21T10:59:00+00:00,1.16089,1.16092,1.1607,1.16071,110430000
2026-05-21T11:00:00+00:00,1.16072,1.16077,1.16061,1.1607,124570000
2026-05-21T11:01:00+00:00,1.16071,1.16088,1.16068,1.16087,115310000
2026-05-21T11:02:00+00:00,1.16087,1.16112,1.16085,1.16109,81540000
2026-05-21T11:03:00+00:00,1.16108,1.16118,1.16107,1.16111,103350000
2026-05-21T11:04:00+00:00,1.16111,1.16122,1.16108,1.16108,90570000
2026-05-21T11:05:00+00:00,1.16111,1.16113,1.16097,1.16097,98670000
2026-05-21T11:06:00+00:00,1.16096,1.16107,1.16095,1.16099,70200000
2026-05-21T11:07:00+00:00,1.161,1.16104,1.16096,1.16099,64800000
2026-05-21T11:08:00+00:00,1.16103,1.16107,1.16097,1.16104,70230000
2026-05-21T11:09:00+00:00,1.16104,1.1611,1.161,1.16104,48600000
2026-05-21T11:10:00+00:00,1.16103,1.16109,1.16097,1.16101,62100000
2026-05-21T11:11:00+00:00,1.161,1.16109,1.16098,1.161,55350000
2026-05-21T11:12:00+00:00,1.16101,1.16101,1.16073,1.16083,78750000
2026-05-21T11:13:00+00:00,1.16085,1.16089,1.16084,1.16086,54370000
2026-05-21T11:14:00+00:00,1.16087,1.16095,1.16083,1.16095,52540000
2026-05-21T11:15:00+00:00,1.16094,1.16103,1.16092,1.16097,76390000
2026-05-21T11:16:00+00:00,1.16097,1.16104,1.16085,1.16093,75040000
2026-05-21T11:17:00+00:00,1.16094,1.16095,1.16086,1.16092,56250000
2026-05-21T11:18:00+00:00,1.16093,1.1611,1.16091,1.16109,75600000
2026-05-21T11:19:00+00:00,1.16107,1.16123,1.16105,1.1612,61650000
2026-05-21T11:20:00+00:00,1.16119,1.16133,1.16114,1.16115,85500000
2026-05-21T11:21:00+00:00,1.16114,1.16148,1.16112,1.16139,241420000
2026-05-21T11:22:00+00:00,1.16139,1.16159,1.16139,1.16159,161550000
2026-05-21T11:23:00+00:00,1.16158,1.16159,1.16114,1.16117,172950000
2026-05-21T11:24:00+00:00,1.16118,1.16131,1.16107,1.16124,136350000
2026-05-21T11:25:00+00:00,1.16123,1.16125,1.16113,1.16118,70650000
2026-05-21T11:26:00+00:00,1.16118,1.16118,1.16101,1.16104,85500000
2026-05-21T11:27:00+00:00,1.16102,1.16109,1.16097,1.16109,61200000
